Gene 1,Gene 2,Weight,Network group,Network
SRSF10,HNRNPA1,0.008101218,Co-localization,Johnson-Shoemaker-2003
TRA2B,SRSF1,0.004066636,Co-localization,Johnson-Shoemaker-2003
HNRNPAB,HNRNPA1,0.017166905,Co-localization,Johnson-Shoemaker-2003
NAA50,MBD4,0.011334312,Co-localization,Johnson-Shoemaker-2003
NAA50,NAA15,0.006303604,Co-localization,Johnson-Shoemaker-2003
RSRC2,RBM39,0.0218719,Co-localization,Johnson-Shoemaker-2003
PNN,SRSF1,0.006464981,Co-localization,Johnson-Shoemaker-2003
PNN,RBM39,0.013758038,Co-localization,Johnson-Shoemaker-2003
PNN,HNRNPA1,0.010985176,Co-localization,Johnson-Shoemaker-2003
PNN,SRSF10,0.0077904677,Co-localization,Johnson-Shoemaker-2003
KHSRP,SRSF1,0.010302071,Co-localization,Johnson-Shoemaker-2003
LUC7L3,SRSF1,0.0062383744,Co-localization,Johnson-Shoemaker-2003
LUC7L3,HNRNPA1,0.010539539,Co-localization,Johnson-Shoemaker-2003
LUC7L3,PNN,0.01603006,Co-localization,Johnson-Shoemaker-2003
RPS6KB1,MED14,0.00063755916,Genetic Interactions,Lin-Smith-2010
RPS6KB1,CSNK1A1,0.00092558656,Genetic Interactions,Lin-Smith-2010
RBM25,RPS6KB1,0.0006402533,Genetic Interactions,Lin-Smith-2010
NAA15,RBM25,0.00060844683,Genetic Interactions,Lin-Smith-2010
NUP58,MED14,0.0008969983,Genetic Interactions,Lin-Smith-2010
NUP58,CSNK1A1,0.0013022316,Genetic Interactions,Lin-Smith-2010
NUP58,NAA15,0.001192757,Genetic Interactions,Lin-Smith-2010
KMT2A,MED14,0.0005343804,Genetic Interactions,Lin-Smith-2010
KMT2A,ANAPC5,0.0009584497,Genetic Interactions,Lin-Smith-2010
BBX,CSNK1A1,0.00092361745,Genetic Interactions,Lin-Smith-2010
BBX,SRSF1,0.0012191738,Genetic Interactions,Lin-Smith-2010
PTBP2,NAA15,0.0005346884,Genetic Interactions,Lin-Smith-2010
RBM39,SZRD1,0.0016136928,Genetic Interactions,Lin-Smith-2010
RBM39,RBM25,0.00048244547,Genetic Interactions,Lin-Smith-2010
RBM39,KMT2A,0.0005634255,Genetic Interactions,Lin-Smith-2010
SMURF1,RBM25,0.0006171752,Genetic Interactions,Lin-Smith-2010
SAP18,RBM25,0.00079097704,Genetic Interactions,Lin-Smith-2010
HNRNPAB,NAA15,0.0009382606,Genetic Interactions,Lin-Smith-2010
HNRNPAB,BBX,0.0009852077,Genetic Interactions,Lin-Smith-2010
HNRNPAB,MATR3,0.001850039,Genetic Interactions,Lin-Smith-2010
HNRNPA0,RBM23,0.004437989,Genetic Interactions,Lin-Smith-2010
RBM26,C5orf24,0.0011694145,Genetic Interactions,Lin-Smith-2010
RBM26,MED14,0.00045343165,Genetic Interactions,Lin-Smith-2010
RBM26,ANAPC5,0.0008132623,Genetic Interactions,Lin-Smith-2010
RBM26,CSNK1A1,0.00065827655,Genetic Interactions,Lin-Smith-2010
RBM26,EZR,0.0007714233,Genetic Interactions,Lin-Smith-2010
RBM26,PTBP2,0.00040014862,Genetic Interactions,Lin-Smith-2010
RBM26,HNRNPAB,0.00070217287,Genetic Interactions,Lin-Smith-2010
PNISR,NAA15,0.0019059373,Genetic Interactions,Lin-Smith-2010
PNISR,MATR3,0.0037580798,Genetic Interactions,Lin-Smith-2010
TCERG1,RBM25,0.0013677403,Genetic Interactions,Lin-Smith-2010
PNN,EZR,0.0019853448,Genetic Interactions,Lin-Smith-2010
KHSRP,PNISR,0.008570912,Genetic Interactions,Lin-Smith-2010
ZMYM2,BBX,0.0011277975,Genetic Interactions,Lin-Smith-2010
ZMYM2,PNISR,0.0025408778,Genetic Interactions,Lin-Smith-2010
OTUD4,ANAPC5,0.0006584561,Genetic Interactions,Lin-Smith-2010
OTUD4,SRSF1,0.0007035225,Genetic Interactions,Lin-Smith-2010
OTUD4,NUP58,0.0007227178,Genetic Interactions,Lin-Smith-2010
OTUD4,BBX,0.000512593,Genetic Interactions,Lin-Smith-2010
OTUD4,PTBP2,0.00032397948,Genetic Interactions,Lin-Smith-2010
OTUD4,RBM23,0.0011205842,Genetic Interactions,Lin-Smith-2010
OTUD4,RBM26,0.00036533305,Genetic Interactions,Lin-Smith-2010
OTUD4,PNN,0.0009402256,Genetic Interactions,Lin-Smith-2010
LUC7L3,RBM39,0.00058831414,Genetic Interactions,Lin-Smith-2010
LUC7L3,RBM26,0.00055527,Genetic Interactions,Lin-Smith-2010
LUC7L3,PNN,0.0014290499,Genetic Interactions,Lin-Smith-2010
PRPF38B,CSNK1A1,0.000817575,Genetic Interactions,Lin-Smith-2010
PRPF38B,RBM25,0.00056553876,Genetic Interactions,Lin-Smith-2010
PRPF38B,BBX,0.0007863135,Genetic Interactions,Lin-Smith-2010
PRPF38B,LUC7L3,0.00068964163,Genetic Interactions,Lin-Smith-2010
NUP58,SRSF1,0.009841988,Pathway,Wu-Stein-2010
HNRNPA1,SRSF1,0.008368428,Pathway,Wu-Stein-2010
HNRNPA0,SRSF1,0.008483524,Pathway,Wu-Stein-2010
HNRNPA0,HNRNPA1,0.010155816,Pathway,Wu-Stein-2010
HNRNPA1,SRSF1,0.010123826,Pathway,REACTOME
HNRNPA0,SRSF1,0.010123826,Pathway,REACTOME
HNRNPA0,HNRNPA1,0.011579039,Pathway,REACTOME
SMURF1,SRSF1,0.07715168,Physical Interactions,Xie-Cong-2013
SMURF1,HNRNPA1,0.07715168,Physical Interactions,Xie-Cong-2013
HNRNPAB,SMURF1,0.07715168,Physical Interactions,Xie-Cong-2013
HNRNPA0,SMURF1,0.07715168,Physical Interactions,Xie-Cong-2013
PRPF31,SMURF1,0.07715168,Physical Interactions,Xie-Cong-2013
RBM39,RBM25,0.12745388,Physical Interactions,Hegele-Stelzl-2012 B
MATR3,PTBP2,0.43160757,Physical Interactions,Hegele-Stelzl-2012 B
SRSF10,SRSF1,0.38094828,Physical Interactions,Hegele-Stelzl-2012 B
SAP18,RBM39,0.4249804,Physical Interactions,Hegele-Stelzl-2012 B
RBM23,RBM25,0.22827326,Physical Interactions,Hegele-Stelzl-2012 B
RBM23,RBM39,0.08086858,Physical Interactions,Hegele-Stelzl-2012 B
TRA2B,HNRNPA1,0.23811673,Physical Interactions,Hegele-Stelzl-2012 B
TRA2B,SRSF10,0.21852726,Physical Interactions,Hegele-Stelzl-2012 B
HNRNPAB,PTBP2,0.23883101,Physical Interactions,Hegele-Stelzl-2012 B
HNRNPA0,SRSF1,0.20143114,Physical Interactions,Hegele-Stelzl-2012 B
PRPF31,RBM25,0.2265235,Physical Interactions,Hegele-Stelzl-2012 B
HNRNPA1,RBM39,0.07052563,Physical Interactions,Jeronimo-Coulombe-2007
HNRNPAB,HNRNPA1,0.10924317,Physical Interactions,Jeronimo-Coulombe-2007
KHSRP,HNRNPA1,0.086105116,Physical Interactions,Jeronimo-Coulombe-2007
SMURF1,ANAPC5,0.052575335,Physical Interactions,Barrios-Rodiles-Wrana-2005
